order_id,customer_id,product_id,quantity,unit_price,order_date,region
ORD-0000128,CUST-00604,PROD-047,12,963.42,2025-02-25,Málaga
ORD-0000129,CUST-00811,PROD-009,9,646.39,2024-05-22,Bilbao
ORD-0000130,CUST-00567,PROD-039,1,848.64,2024-08-06,Sevilla
ORD-0000131,CUST-00211,PROD-034,7,749.1,2025-11-09,Sevilla
ORD-0000132,CUST-00662,PROD-004,16,388.95,2024-05-05,Bilbao
ORD-0000133,CUST-00512,PROD-041,17,889.27,2023-05-26,Madrid
ORD-0000134,CUST-00370,PROD-021,13,861.5,2023-09-28,Zaragoza
ORD-0000135,CUST-00375,PROD-035,16,954.67,2023-12-20,Barcelona
ORD-0000136,CUST-00018,PROD-038,1,265.87,2023-05-19,Madrid
ORD-0000137,CUST-00945,PROD-004,17,290.05,2025-03-26,Murcia
ORD-0000138,CUST-00786,PROD-027,13,87.01,2025-05-17,Murcia
ORD-0000139,CUST-00551,PROD-040,9,88.18,2023-11-09,Barcelona
ORD-0000140,CUST-00524,PROD-014,18,330.11,2023-11-15,Barcelona
ORD-0000141,CUST-00318,PROD-045,8,62.62,2025-06-14,Barcelona
ORD-0000142,CUST-00947,PROD-028,15,614.23,2023-08-26,Madrid
ORD-0000143,CUST-00317,PROD-043,4,17.6,2023-12-26,Valencia
ORD-0000144,CUST-00719,PROD-001,16,953.24,2023-12-02,Murcia
ORD-0000145,CUST-00530,PROD-047,6,375.01,2024-06-14,Sevilla
ORD-0000146,CUST-00751,PROD-008,11,808.06,2023-03-02,Sevilla
ORD-0000147,CUST-00537,PROD-005,19,629.39,2024-06-22,Alicante
ORD-0000148,CUST-00467,PROD-033,2,502.11,2025-01-07,Valencia
ORD-0000149,CUST-00377,PROD-011,4,894.79,2024-06-06,Barcelona
ORD-0000150,CUST-00234,PROD-048,1,48.82,2025-11-08,Madrid
ORD-0000151,CUST-00251,PROD-003,12,386.06,2025-08-24,Valencia
ORD-0000152,CUST-00184,PROD-003,14,228.39,2026-02-06,Bilbao
ORD-0000153,CUST-00427,PROD-047,9,826.86,2024-10-17,Málaga
ORD-0000154,CUST-00123,PROD-033,6,227.07,2023-04-18,Murcia
ORD-0000155,CUST-00048,PROD-026,15,866.69,2023-05-22,Sevilla
ORD-0000156,CUST-00336,PROD-006,15,12.93,2026-02-06,Bilbao
ORD-0000157,CUST-00299,PROD-037,20,246.37,2024-09-14,Málaga
ORD-0000158,CUST-00606,PROD-032,18,761.67,2024-02-05,Bilbao
ORD-0000159,CUST-00155,PROD-001,1,236.83,2025-04-19,Málaga
ORD-0000160,CUST-00652,PROD-045,11,6.45,2023-01-20,Zaragoza
ORD-0000161,CUST-00870,PROD-048,4,209.17,2024-09-21,Bilbao
ORD-0000162,CUST-00430,PROD-032,5,713.09,2023-05-03,Barcelona
ORD-0000163,CUST-00045,PROD-015,14,702.34,2025-11-30,Málaga
ORD-0000164,CUST-00470,PROD-048,19,100.1,2023-06-23,Valencia
ORD-0000165,CUST-00653,PROD-026,19,569.98,2023-06-03,Zaragoza
ORD-0000166,CUST-00679,PROD-009,10,264.68,2024-04-29,Málaga
ORD-0000167,CUST-00949,PROD-026,11,455.49,2024-10-30,Bilbao
ORD-0000168,CUST-00077,PROD-013,19,113.43,2023-10-06,Barcelona
ORD-0000169,CUST-00169,PROD-029,11,409.48,2025-08-12,Murcia
ORD-0000170,CUST-00367,PROD-050,15,311.76,2024-03-01,Sevilla
ORD-0000171,CUST-00873,PROD-008,6,808.55,2023-07-05,Sevilla
ORD-0000172,CUST-00847,PROD-046,7,836.74,2023-03-24,Málaga
ORD-0000173,CUST-00152,PROD-006,12,399.26,2024-05-23,Madrid
ORD-0000174,CUST-00694,PROD-020,6,35.93,2024-06-16,Zaragoza
ORD-0000175,CUST-00876,PROD-029,18,253.6,2026-02-12,Alicante
ORD-0000176,CUST-00105,PROD-009,1,66.36,2023-09-06,Bilbao
ORD-0000177,CUST-00134,PROD-013,12,687.85,2025-03-31,Barcelona
ORD-0000178,CUST-00597,PROD-038,3,26.69,2024-06-14,Barcelona
ORD-0000179,CUST-00203,PROD-042,5,96.52,2025-06-27,Málaga
ORD-0000180,CUST-00126,PROD-003,2,172.15,2025-08-02,Zaragoza
ORD-0000181,CUST-00842,PROD-047,16,34.33,2025-03-19,Zaragoza
ORD-0000182,CUST-00177,PROD-023,6,278.6,2024-03-15,Alicante
ORD-0000183,CUST-00905,PROD-010,20,621.07,2023-03-12,Bilbao
ORD-0000184,CUST-00663,PROD-019,14,883.36,2025-10-18,Alicante
ORD-0000185,CUST-00063,PROD-006,13,141.55,2024-07-26,Bilbao
ORD-0000186,CUST-00659,PROD-034,18,795.86,2024-05-25,Zaragoza
ORD-0000187,CUST-00801,PROD-046,16,546.79,2025-01-05,Alicante
ORD-0000188,CUST-00353,PROD-037,11,391.44,2025-10-25,Valencia
ORD-0000189,CUST-00027,PROD-021,1,896.28,2024-03-24,Sevilla
ORD-0000190,CUST-00060,PROD-031,12,768.0,2025-12-20,Bilbao
ORD-0000191,CUST-00998,PROD-011,8,658.57,2023-07-25,Sevilla
ORD-0000192,CUST-00547,PROD-048,8,577.81,2023-04-25,Zaragoza
ORD-0000193,CUST-00364,PROD-012,8,594.55,2023-12-27,Málaga
ORD-0000194,CUST-00936,PROD-038,12,947.81,2023-02-27,Valencia
ORD-0000195,CUST-00577,PROD-013,18,312.5,2025-10-05,Alicante
ORD-0000196,CUST-00039,PROD-006,8,603.65,2023-04-26,Madrid
ORD-0000197,CUST-00540,PROD-031,11,918.3,2023-01-02,Bilbao
ORD-0000198,CUST-00826,PROD-009,6,919.18,2024-11-28,Málaga
ORD-0000199,CUST-00061,PROD-002,19,706.17,2023-10-30,Valencia
ORD-0000200,CUST-00793,PROD-008,12,960.75,2025-12-13,Málaga
ORD-0000201,CUST-00722,PROD-043,19,105.53,2025-03-21,Sevilla
ORD-0000202,CUST-00331,PROD-009,14,792.88,2023-11-19,Alicante
ORD-0000203,CUST-00665,PROD-021,18,695.09,2023-12-23,Málaga
ORD-0000204,CUST-00229,PROD-043,13,310.29,2023-12-26,Sevilla
ORD-0000205,CUST-00131,PROD-012,19,394.64,2023-01-04,Madrid
ORD-0000206,CUST-00187,PROD-039,20,224.79,2024-10-13,Barcelona
ORD-0000207,CUST-00960,PROD-032,11,746.61,2023-10-16,Bilbao
ORD-0000208,CUST-00356,PROD-021,3,822.55,2023-12-10,Málaga
ORD-0000209,CUST-00458,PROD-001,7,253.29,2024-06-27,Barcelona
ORD-0000210,CUST-00359,PROD-017,1,52.91,2023-08-10,Alicante
ORD-0000211,CUST-00751,PROD-027,14,495.61,2023-12-07,Zaragoza
ORD-0000212,CUST-00360,PROD-035,4,829.65,2025-02-07,Bilbao
ORD-0000213,CUST-00167,PROD-029,2,298.43,2023-05-31,Málaga
ORD-0000214,CUST-00268,PROD-007,11,174.25,2023-06-01,Zaragoza
ORD-0000215,CUST-00165,PROD-047,18,942.12,2023-06-03,Barcelona
ORD-0000216,CUST-00347,PROD-039,1,434.16,2025-09-15,Valencia
ORD-0000217,CUST-00622,PROD-028,2,105.75,2023-11-18,Bilbao
ORD-0000218,CUST-00998,PROD-013,18,723.42,2025-04-18,Murcia
ORD-0000219,CUST-00272,PROD-043,10,241.36,2024-07-30,Madrid
ORD-0000220,CUST-00403,PROD-037,16,157.82,2026-01-30,Málaga
ORD-0000221,CUST-00004,PROD-028,10,824.77,2023-06-29,Alicante
ORD-0000222,CUST-00205,PROD-007,7,174.98,2023-02-22,Sevilla
ORD-0000223,CUST-00084,PROD-031,10,785.94,2023-08-25,Alicante
ORD-0000224,CUST-00501,PROD-043,3,643.65,2024-06-26,Zaragoza
ORD-0000225,CUST-00190,PROD-024,12,190.65,2025-02-20,Madrid
ORD-0000226,CUST-00270,PROD-029,9,230.11,2025-08-10,Sevilla
ORD-0000227,CUST-00578,PROD-004,4,90.28,2023-11-06,Málaga
ORD-0000228,CUST-00828,PROD-035,19,231.37,2025-04-27,Madrid
ORD-0000229,CUST-00861,PROD-025,14,965.79,2025-12-06,Alicante
ORD-0000230,CUST-00587,PROD-016,10,83.56,2025-09-02,Madrid
ORD-0000231,CUST-00515,PROD-037,19,679.14,2025-11-24,Valencia
ORD-0000232,CUST-00124,PROD-049,6,949.31,2025-07-08,Valencia
ORD-0000233,CUST-00996,PROD-014,5,47.46,2024-01-30,Barcelona
ORD-0000234,CUST-00700,PROD-028,5,834.93,2024-02-18,Sevilla
ORD-0000235,CUST-00328,PROD-047,3,391.15,2023-05-18,Zaragoza
ORD-0000236,CUST-00566,PROD-021,17,460.86,2024-07-19,Madrid
ORD-0000237,CUST-00806,PROD-045,14,116.96,2025-12-06,Valencia
ORD-0000238,CUST-00152,PROD-037,4,564.86,2023-07-25,Barcelona
ORD-0000239,CUST-00805,PROD-019,12,878.5,2026-01-01,Sevilla
ORD-0000240,CUST-00393,PROD-042,19,610.91,2025-09-21,Madrid
ORD-0000241,CUST-00177,PROD-018,5,620.15,2025-04-05,Zaragoza
ORD-0000242,CUST-00040,PROD-026,8,54.04,2024-11-09,Alicante
ORD-0000243,CUST-00943,PROD-018,1,341.17,2025-02-01,Sevilla
ORD-0000244,CUST-00319,PROD-018,4,972.62,2025-10-03,Bilbao
ORD-0000245,CUST-00138,PROD-020,11,273.07,2025-06-26,Zaragoza
ORD-0000246,CUST-00620,PROD-042,7,444.5,2023-07-02,Zaragoza
ORD-0000247,CUST-00759,PROD-032,12,821.9,2025-11-23,Murcia
ORD-0000248,CUST-00811,PROD-011,10,711.01,2023-05-15,Zaragoza
ORD-0000249,CUST-00139,PROD-050,19,33.8,2025-12-09,Bilbao
ORD-0000250,CUST-00897,PROD-013,8,37.91,2023-04-29,Madrid
ORD-0000251,CUST-00941,PROD-024,9,371.51,2024-02-12,Alicante
ORD-0000252,CUST-00518,PROD-026,1,245.73,2023-09-11,Alicante
ORD-0000253,CUST-00609,PROD-029,16,588.94,2023-12-30,Málaga
ORD-0000254,CUST-00353,PROD-011,3,288.64,2024-06-13,Zaragoza
ORD-0000255,CUST-00051,PROD-011,7,857.82,2026-03-17,Bilbao
ORD-0000256,CUST-00694,PROD-014,14,515.71,2024-07-05,Madrid
ORD-0000257,CUST-00486,PROD-009,20,801.85,2023-12-21,Bilbao
ORD-0000258,CUST-00259,PROD-039,9,426.68,2024-09-17,Zaragoza
ORD-0000259,CUST-00873,PROD-023,9,222.12,2025-07-29,Sevilla
ORD-0000260,CUST-00694,PROD-034,19,106.8,2025-03-24,Murcia
ORD-0000261,CUST-00679,PROD-024,20,611.0,2026-02-23,Sevilla
ORD-0000262,CUST-00701,PROD-007,3,339.6,2025-09-13,Sevilla
ORD-0000263,CUST-00656,PROD-021,9,657.83,2024-07-21,Sevilla
ORD-0000264,CUST-00193,PROD-010,8,900.18,2025-11-25,Zaragoza
ORD-0000265,CUST-00677,PROD-021,1,657.12,2023-10-14,Sevilla
ORD-0000266,CUST-00266,PROD-027,13,738.04,2025-04-08,Bilbao
ORD-0000267,CUST-00352,PROD-047,18,640.12,2024-03-31,Alicante
ORD-0000268,CUST-00929,PROD-043,17,303.69,2025-01-04,Valencia
ORD-0000269,CUST-00861,PROD-043,6,297.31,2026-02-17,Alicante
ORD-0000270,CUST-00132,PROD-048,18,764.1,2024-06-13,Valencia
ORD-0000271,CUST-00970,PROD-044,3,226.14,2024-11-18,Bilbao
ORD-0000272,CUST-00763,PROD-020,11,374.82,2025-05-11,Sevilla
ORD-0000273,CUST-00475,PROD-008,2,867.05,2025-08-21,Barcelona
ORD-0000274,CUST-00484,PROD-013,4,868.15,2025-10-21,Zaragoza
ORD-0000275,CUST-00543,PROD-020,2,871.49,2025-04-26,Valencia
ORD-0000276,CUST-00141,PROD-013,14,987.25,2024-12-02,Alicante
ORD-0000277,CUST-00147,PROD-021,3,490.14,2024-01-05,Valencia
ORD-0000278,CUST-00321,PROD-041,1,454.79,2023-04-29,Bilbao
ORD-0000279,CUST-00780,PROD-050,19,765.65,2023-12-12,Alicante
ORD-0000280,CUST-00805,PROD-049,5,616.4,2023-06-30,Zaragoza
ORD-0000281,CUST-00414,PROD-028,13,9.65,2025-09-04,Murcia
ORD-0000282,CUST-00205,PROD-047,1,892.54,2025-02-03,Murcia
ORD-0000283,CUST-00196,PROD-002,8,230.13,2023-01-09,Málaga
ORD-0000284,CUST-00320,PROD-009,13,505.81,2023-07-30,Sevilla
ORD-0000285,CUST-00172,PROD-005,10,948.71,2023-04-04,Alicante
ORD-0000286,CUST-00746,PROD-034,11,436.49,2025-12-09,Valencia
ORD-0000287,CUST-00351,PROD-032,7,169.06,2025-01-05,Zaragoza
ORD-0000288,CUST-00020,PROD-015,5,215.13,2024-04-04,Madrid
ORD-0000289,CUST-00604,PROD-033,4,369.75,2023-12-13,Madrid
ORD-0000290,CUST-00385,PROD-041,18,625.01,2024-06-07,Madrid
ORD-0000291,CUST-00678,PROD-007,2,691.29,2023-02-10,Zaragoza
ORD-0000292,CUST-00455,PROD-025,18,256.47,2023-09-11,Valencia
ORD-0000293,CUST-00211,PROD-045,10,423.76,2023-01-20,Barcelona
ORD-0000294,CUST-00679,PROD-034,20,607.6,2024-07-06,Valencia
ORD-0000295,CUST-00429,PROD-007,20,122.14,2025-11-13,Barcelona
ORD-0000296,CUST-00804,PROD-007,7,610.95,2025-10-16,Sevilla
ORD-0000297,CUST-00852,PROD-034,12,704.91,2024-02-18,Sevilla
ORD-0000298,CUST-00165,PROD-003,16,910.8,2026-01-27,Alicante
ORD-0000299,CUST-00339,PROD-016,1,673.27,2023-01-06,Barcelona
ORD-0000300,CUST-00856,PROD-037,5,949.69,2025-10-08,Murcia
ORD-0000301,CUST-00077,PROD-047,9,646.11,2023-07-27,Alicante
ORD-0000302,CUST-00304,PROD-017,2,104.31,2025-08-08,Valencia
ORD-0000303,CUST-00896,PROD-003,12,802.58,2024-08-18,Málaga
ORD-0000304,CUST-00437,PROD-048,4,851.98,2023-08-26,Madrid
ORD-0000305,CUST-00010,PROD-009,11,360.74,2023-12-16,Alicante
ORD-0000306,CUST-00979,PROD-040,3,375.76,2024-07-03,Málaga
ORD-0000307,CUST-00188,PROD-008,13,962.49,2025-03-31,Sevilla
ORD-0000308,CUST-00856,PROD-025,14,650.6,2025-09-06,Valencia
ORD-0000309,CUST-00116,PROD-009,6,108.19,2023-05-01,Alicante
ORD-0000310,CUST-00822,PROD-037,6,613.26,2025-06-16,Málaga
ORD-0000311,CUST-00627,PROD-002,16,920.79,2023-09-25,Barcelona
ORD-0000312,CUST-00909,PROD-027,2,68.02,2025-06-21,Málaga
ORD-0000313,CUST-00013,PROD-046,19,725.15,2025-12-10,Bilbao
ORD-0000314,CUST-00979,PROD-043,17,525.48,2024-11-23,Barcelona
ORD-0000315,CUST-00444,PROD-043,16,349.02,2024-05-24,Zaragoza
ORD-0000316,CUST-00153,PROD-036,1,645.18,2023-04-22,Valencia
ORD-0000317,CUST-00518,PROD-031,6,79.49,2025-10-12,Alicante
ORD-0000318,CUST-00329,PROD-016,9,55.1,2024-11-08,Bilbao
ORD-0000319,CUST-00564,PROD-042,13,818.01,2025-02-14,Barcelona
ORD-0000320,CUST-00471,PROD-029,15,92.58,2026-03-19,Alicante
ORD-0000321,CUST-00458,PROD-021,16,746.51,2023-09-01,Madrid
ORD-0000322,CUST-00106,PROD-026,2,559.34,2025-04-24,Madrid
ORD-0000323,CUST-00846,PROD-006,17,564.52,2024-09-15,Alicante
ORD-0000324,CUST-00974,PROD-022,2,817.5,2025-01-14,Alicante
ORD-0000325,CUST-00340,PROD-036,12,717.33,2025-08-26,Barcelona
ORD-0000326,CUST-00100,PROD-049,1,344.65,2024-03-30,Sevilla
ORD-0000327,CUST-00561,PROD-034,4,50.55,2025-02-04,Valencia
ORD-0000328,CUST-00505,PROD-009,4,258.02,2025-04-18,Bilbao
ORD-0000329,CUST-00193,PROD-008,7,459.76,2025-03-15,Bilbao
ORD-0000330,CUST-00734,PROD-022,14,51.27,2023-08-09,Barcelona
ORD-0000331,CUST-00791,PROD-029,19,956.4,2025-07-25,Valencia
ORD-0000332,CUST-00987,PROD-032,17,737.53,2023-01-09,Murcia
ORD-0000333,CUST-00958,PROD-028,17,782.17,2025-09-16,Valencia
ORD-0000334,CUST-00709,PROD-038,5,108.04,2023-12-22,Málaga
ORD-0000335,CUST-00517,PROD-025,20,916.32,2025-05-07,Bilbao
ORD-0000336,CUST-00281,PROD-026,10,455.58,2024-12-03,Valencia
ORD-0000337,CUST-00142,PROD-027,10,843.85,2025-11-15,Murcia
ORD-0000338,CUST-00882,PROD-021,7,204.88,2026-02-07,Sevilla
ORD-0000339,CUST-00704,PROD-023,6,506.37,2023-09-29,Málaga
ORD-0000340,CUST-00728,PROD-008,18,482.96,2024-12-22,Zaragoza
ORD-0000341,CUST-00691,PROD-048,10,878.08,2025-12-29,Zaragoza
ORD-0000342,CUST-00828,PROD-001,4,30.15,2025-12-06,Valencia
ORD-0000343,CUST-00055,PROD-043,7,270.64,2023-04-26,Valencia
ORD-0000344,CUST-00294,PROD-044,5,840.18,2024-05-28,Sevilla
ORD-0000345,CUST-00209,PROD-049,2,361.89,2026-01-13,Alicante
ORD-0000346,CUST-00105,PROD-040,8,743.69,2026-02-24,Murcia
ORD-0000347,CUST-00399,PROD-016,10,694.46,2025-11-12,Madrid
ORD-0000348,CUST-00949,PROD-025,14,956.91,2025-03-04,Málaga
ORD-0000349,CUST-00990,PROD-036,1,744.94,2023-04-21,Bilbao
ORD-0000350,CUST-00636,PROD-050,8,911.92,2025-06-26,Málaga
ORD-0000351,CUST-00774,PROD-038,20,200.48,2026-01-24,Bilbao
